Organization Name,Partner Type,County,City,Industry Sector,Entrepreneur Demographic Group,Business Stage,Reporting Month,Businesses Supported,New Businesses Started,Jobs Created,Jobs Retained,Capital Raised,Grants Awarded,Loans Facilitated,Referrals Made,Programs Delivered,Entrepreneurs Served,Mentor Hours,Data Completeness Score,Data Source,Last Updated Date
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Food & Beverage,Immigrant-Founded,Scaling,2024-07,42,7,26,24,755853,86594,191692,17,2,57,153,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Retail,Other,Established,2024-07,26,2,11,15,746478,151976,121343,12,2,37,71,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Retail,Other,Idea,2024-07,15,3,15,23,241146,64172,69201,11,2,21,69,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Healthcare,Other,Established,2024-07,9,1,9,10,58759,9822,21932,4,2,12,39,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Manufacturing,Women-Owned,Startup,2024-07,16,2,10,11,203167,58758,31467,8,3,27,66,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Construction,Immigrant-Founded,Early Growth,2024-07,15,3,16,22,185504,36568,45859,10,3,20,54,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Construction,Other,Established,2024-07,31,6,20,26,327229,49749,75864,14,3,46,168,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Logistics,Minority-Owned,Established,2024-07,24,4,23,32,582265,169705,93199,11,3,38,78,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Technology,Other,Startup,2024-07,15,2,5,7,176942,51799,58318,11,1,26,62,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Healthcare,Other,Idea,2024-07,6,1,3,4,59427,14229,13394,3,2,10,35,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Manufacturing,Other,Scaling,2024-07,25,3,11,11,350589,79624,125222,21,3,39,68,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Healthcare,Veteran-Owned,Scaling,2024-07,31,5,19,21,532292,62455,197165,21,1,42,152,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Retail,Other,Scaling,2024-07,11,2,7,6,192189,29838,29316,10,2,20,74,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Retail,Women-Owned,Established,2024-07,16,2,10,14,412777,89288,110754,7,1,23,74,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Creative / Media,Minority-Owned,Scaling,2024-07,19,2,12,11,109623,15706,29713,10,2,32,108,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Creative / Media,Youth (Under 30),Idea,2024-07,15,2,9,8,231054,52581,78142,7,1,24,53,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Manufacturing,Other,Scaling,2024-08,47,10,33,49,861616,204453,161925,24,1,74,201,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Food & Beverage,Women-Owned,Startup,2024-08,63,12,38,46,1430430,230408,436648,39,2,91,332,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Manufacturing,Other,Startup,2024-08,13,1,5,4,42611,6716,9403,10,3,24,64,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Logistics,Women-Owned,Startup,2024-08,73,13,57,64,1379696,157674,264185,48,2,104,392,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Food & Beverage,Youth (Under 30),Scaling,2024-08,70,9,29,29,1000384,247001,301043,48,3,105,314,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Technology,Women-Owned,Scaling,2024-08,34,6,24,33,1195248,357844,309534,16,2,46,119,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Logistics,Other,Established,2024-08,27,5,20,27,420038,80212,96032,14,3,38,134,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Professional Services,Women-Owned,Established,2024-08,18,3,9,7,226089,24942,49007,15,2,33,90,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Healthcare,Other,Established,2024-08,22,3,13,17,173928,46661,31022,16,1,41,103,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Manufacturing,Rural,Startup,2024-08,8,1,8,12,113749,22937,42067,4,2,12,29,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Manufacturing,Minority-Owned,Established,2024-08,12,1,12,17,75723,14907,17651,9,4,20,73,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Creative / Media,Minority-Owned,Early Growth,2024-08,43,6,22,24,1353571,402934,471175,28,2,72,272,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Healthcare,Immigrant-Founded,Idea,2024-08,22,2,17,14,219349,64486,37005,20,1,35,65,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Food & Beverage,Minority-Owned,Established,2024-08,13,2,5,5,85743,9747,26390,9,3,18,66,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Food & Beverage,Other,Idea,2024-08,24,4,16,21,253877,44420,47320,19,1,34,118,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Creative / Media,Veteran-Owned,Startup,2024-08,29,5,18,27,302130,30780,106095,13,2,38,81,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Food & Beverage,Rural,Startup,2024-08,35,4,24,32,433067,52544,106249,19,1,45,179,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Professional Services,Youth (Under 30),Early Growth,2024-08,48,4,21,29,1364827,382952,469412,43,3,74,248,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Retail,Youth (Under 30),Early Growth,2024-08,26,4,21,28,172615,44486,27332,15,1,44,135,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Professional Services,Other,Idea,2024-08,17,2,10,15,106327,30070,41047,11,3,27,58,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Food & Beverage,Other,Early Growth,2024-09,51,9,23,30,761265,89875,189283,45,2,91,328,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Food & Beverage,Youth (Under 30),Established,2024-09,27,3,18,19,346360,57357,104781,22,2,45,137,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Manufacturing,Rural,Established,2024-09,23,2,11,11,101706,19398,32304,16,1,36,133,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Creative / Media,Veteran-Owned,Startup,2024-09,72,12,53,54,706668,121926,279297,48,1,96,250,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Professional Services,Youth (Under 30),Early Growth,2024-09,81,17,73,63,748786,124823,297421,37,4,103,404,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Retail,Women-Owned,Scaling,2024-09,40,5,17,25,806389,121063,156136,15,3,53,98,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Technology,Women-Owned,Early Growth,2024-09,30,3,8,11,306724,62156,54370,21,3,48,129,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Creative / Media,Minority-Owned,Scaling,2024-09,28,4,17,26,379551,75171,143252,11,2,37,92,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Manufacturing,Other,Early Growth,2024-09,19,3,13,13,265302,31792,86341,18,2,31,81,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Creative / Media,Other,Startup,2024-09,6,1,9,12,116287,27602,31230,3,1,10,21,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Manufacturing,Other,Idea,2024-09,9,1,8,12,109888,31672,28102,7,4,15,37,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Technology,Other,Scaling,2024-09,29,3,14,20,597940,86839,153836,17,2,44,78,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Creative / Media,Other,Scaling,2024-09,8,1,5,5,67185,6800,24688,5,3,15,34,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Construction,Women-Owned,Idea,2024-09,23,3,13,13,332002,43530,112418,14,3,36,107,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Technology,Rural,Early Growth,2024-09,19,2,10,12,174901,35922,39720,11,1,28,89,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Retail,Veteran-Owned,Scaling,2024-09,34,6,28,28,302009,62369,62675,14,2,44,113,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Creative / Media,Other,Early Growth,2024-09,24,2,15,22,146831,18065,22790,20,2,43,140,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Professional Services,Women-Owned,Scaling,2024-09,17,2,9,10,637852,92051,219918,11,1,27,99,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Manufacturing,Immigrant-Founded,Idea,2024-09,26,3,16,21,161639,21105,54923,12,1,35,74,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Manufacturing,Women-Owned,Established,2024-09,9,1,9,11,65291,12271,17447,8,2,14,54,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Food & Beverage,Other,Scaling,2024-10,69,10,26,38,892006,179662,236986,35,3,111,403,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Creative / Media,Other,Idea,2024-10,24,3,15,13,202425,49161,55897,10,1,34,127,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Healthcare,Women-Owned,Established,2024-10,28,4,20,22,361883,60409,84109,21,3,41,66,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Creative / Media,Rural,Early Growth,2024-10,57,9,31,26,832359,193462,151687,36,3,73,166,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Manufacturing,Minority-Owned,Established,2024-10,41,7,32,51,564753,58534,128321,40,1,71,225,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Retail,Minority-Owned,Established,2024-10,44,5,36,43,1487269,409413,452885,35,3,76,214,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Construction,Women-Owned,Startup,2024-10,43,5,14,15,313971,78400,82333,29,1,58,151,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Creative / Media,Minority-Owned,Established,2024-10,20,3,12,16,158893,22235,47853,15,2,29,73,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Food & Beverage,Women-Owned,Established,2024-10,24,4,17,17,207151,38839,80085,22,1,43,161,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Retail,Other,Early Growth,2024-10,19,2,8,6,194352,32468,36249,11,1,30,52,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Technology,Minority-Owned,Established,2024-10,19,2,6,5,196357,40362,34911,10,4,27,77,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Food & Beverage,Minority-Owned,Idea,2024-10,46,7,20,30,1329553,171133,342106,29,1,62,172,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Professional Services,Minority-Owned,Established,2024-10,18,2,16,19,219733,23886,54212,14,2,27,41,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Professional Services,Minority-Owned,Idea,2024-10,15,2,9,11,134167,30665,47977,13,1,26,61,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Logistics,Other,Established,2024-10,14,2,6,6,229339,46573,91111,7,1,25,40,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Creative / Media,Immigrant-Founded,Idea,2024-10,23,4,18,19,397858,110973,98136,12,2,37,137,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Healthcare,Immigrant-Founded,Established,2024-10,11,1,11,12,48207,7982,10794,10,1,18,40,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Logistics,Youth (Under 30),Established,2024-10,37,6,32,41,856101,200530,215354,24,2,57,198,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Creative / Media,Other,Startup,2024-10,35,6,16,13,512277,113222,163808,27,2,51,125,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Professional Services,Minority-Owned,Idea,2024-10,9,1,4,3,84933,12939,18266,7,3,15,37,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Logistics,Minority-Owned,Scaling,2024-11,47,5,31,36,472771,127224,108688,40,2,71,122,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Professional Services,Other,Scaling,2024-11,20,3,15,19,168235,21496,58477,14,2,27,48,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Technology,Minority-Owned,Scaling,2024-11,13,2,12,12,203066,53745,34203,11,3,19,53,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Professional Services,Rural,Established,2024-11,27,5,21,26,547284,145729,152979,25,1,48,132,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Food & Beverage,Women-Owned,Early Growth,2024-11,80,12,35,30,1080021,240721,187229,36,5,102,222,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Healthcare,Youth (Under 30),Scaling,2024-11,45,7,36,45,2045485,440503,639791,34,1,63,101,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Construction,Youth (Under 30),Idea,2024-11,16,3,13,18,134379,25252,36425,13,1,27,45,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Retail,Minority-Owned,Startup,2024-11,14,2,17,15,154635,23735,32779,8,2,20,45,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Manufacturing,Women-Owned,Established,2024-11,32,6,25,38,718065,138847,265518,21,1,41,77,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Logistics,Women-Owned,Established,2024-11,3,0,3,3,0,0,0,2,2,5,13,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Food & Beverage,Other,Established,2024-11,15,1,9,7,119127,28123,21407,10,4,23,50,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Manufacturing,Veteran-Owned,Early Growth,2024-11,20,3,11,9,782847,101604,292223,10,3,35,122,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Healthcare,Minority-Owned,Scaling,2024-11,14,2,13,15,155982,16117,36314,9,2,20,58,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Manufacturing,Other,Scaling,2024-11,16,2,16,16,116406,12836,31442,10,3,21,61,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Creative / Media,Youth (Under 30),Scaling,2024-11,31,4,14,19,292147,41127,80473,15,2,42,106,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Logistics,Other,Idea,2024-11,22,4,13,14,334807,78737,122845,19,2,33,93,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Food & Beverage,Youth (Under 30),Startup,2024-11,21,4,21,29,313537,66500,120279,17,3,35,95,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Food & Beverage,Minority-Owned,Scaling,2024-11,34,6,27,38,1300014,245020,278347,16,1,43,141,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Logistics,Minority-Owned,Scaling,2024-11,25,2,15,14,117253,14075,27269,13,3,42,86,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Logistics,Women-Owned,Startup,2024-11,24,3,17,25,197080,45166,74296,13,2,31,121,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Manufacturing,Rural,Startup,2024-12,34,7,20,30,502316,99999,192965,15,3,44,175,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Food & Beverage,Other,Idea,2024-12,46,6,26,34,482022,74504,169769,27,3,60,110,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Professional Services,Women-Owned,Established,2024-12,11,1,2,2,72439,13440,16804,7,2,21,65,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Construction,Rural,Startup,2024-12,76,7,24,27,600811,91509,144127,36,1,97,286,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Retail,Women-Owned,Idea,2024-12,50,10,46,65,694035,100058,270215,35,4,70,269,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Logistics,Women-Owned,Scaling,2024-12,26,4,23,33,1318267,270378,371808,17,3,34,101,76,Smartsheet,2026-05-22
Metro Business Builders,Nonprofit Support Organization,Clay,Liberty,Professional Services,Women-Owned,Scaling,2024-12,51,6,27,25,584120,115518,218882,36,2,66,211,80,Google Form,2026-05-22
KC Workforce Alliance,Workforce Partner,Wyandotte,Kansas City,Logistics,Other,Established,2024-12,20,3,17,17,172296,19746,44094,9,1,30,45,67,Survey Monkey Export,2026-05-22
Entrepreneur Support Collaborative,Nonprofit Support Organization,Jackson,Independence,Manufacturing,Youth (Under 30),Idea,2024-12,28,2,9,12,147257,43966,36169,19,3,37,115,76,Survey Monkey Export,2026-05-22
Main Street Business Center,Chamber / Business Association,Cass,Belton,Construction,Minority-Owned,Scaling,2024-12,18,3,17,15,354837,68341,117015,18,3,32,108,68,Internal Database,2026-05-22
Midwest Innovation Hub,Incubator / Accelerator,Johnson,Olathe,Construction,Youth (Under 30),Startup,2024-12,17,3,18,16,332101,34249,66925,15,3,28,95,86,Survey Monkey Export,2026-05-22
Urban Core Ventures,Funding Partner,Jackson,Kansas City,Manufacturing,Youth (Under 30),Established,2024-12,16,3,10,9,770992,121703,272889,10,3,29,47,79,Google Form,2026-05-22
Northland Business Alliance,Chamber / Business Association,Platte,Riverside,Professional Services,Youth (Under 30),Early Growth,2024-12,19,3,19,19,162031,38198,46820,11,2,24,80,91,Google Form,2026-05-22
Regional Manufacturing Extension,Workforce Partner,Wyandotte,Kansas City,Technology,Other,Established,2024-12,18,2,7,9,193212,50458,73166,12,3,29,65,85,Airtable Base,2026-05-22
Women Founders Network,Nonprofit Support Organization,Johnson,Lenexa,Creative / Media,Veteran-Owned,Established,2024-12,20,2,10,15,110477,16979,35177,18,1,34,112,72,Salesforce CRM,2026-05-22
Clay County Enterprise Center,Economic Development Organization,Clay,Gladstone,Technology,Other,Startup,2024-12,30,3,7,10,165605,41118,55762,16,3,42,85,85,Grant Mgmt System,2026-05-22
Cass Regional SBDC,University / Education,Cass,Harrisonville,Logistics,Other,Scaling,2024-12,15,2,6,7,221249,42745,77592,12,1,26,62,84,Survey Monkey Export,2026-05-22
Platte Catalyst Fund,Funding Partner,Platte,Platte City,Logistics,Other,Early Growth,2024-12,39,6,17,15,1409399,183901,327637,23,3,61,179,75,Internal Database,2026-05-22
Wyandotte Builds,Workforce Partner,Wyandotte,Kansas City,Construction,Youth (Under 30),Startup,2024-12,18,2,12,18,207196,27733,68390,12,2,25,48,79,Survey Monkey Export,2026-05-22
Bright Future Accelerator,Incubator / Accelerator,Jackson,Kansas City,Logistics,Women-Owned,Scaling,2024-12,26,5,14,20,452280,51376,84918,12,1,39,71,66,Airtable Base,2026-05-22
Regional Catalyst Network,Economic Development Organization,Jackson,Kansas City,Retail,Immigrant-Founded,Early Growth,2025-01,88,18,71,57,1759957,364570,390133,51,2,113,174,85,Excel Workbook,2026-05-22
Metro University Innovation Center,University / Education,Jackson,Kansas City,Creative / Media,Other,Established,2025-01,47,5,9,8,358758,62642,90230,38,3,83,179,98,Internal Database,2026-05-22
KC Startup Foundation,Nonprofit Support Organization,Jackson,Kansas City,Retail,Other,Startup,2025-01,13,2,16,13,181879,43754,31041,10,2,24,64,74,Google Form,2026-05-22
Regional Growth Partners,Economic Development Organization,Johnson,Overland Park,Construction,Rural,Early Growth,2025-01,18,2,5,4,87449,10045,33352,18,3,33,88,66,Airtable Base,2026-05-22
LaunchKC Network,Incubator / Accelerator,Jackson,Kansas City,Creative / Media,Youth (Under 30),Idea,2025-01,57,7,25,36,595816,127110,215900,56,5,104,233,64,Excel Workbook,2026-05-22
Heartland Capital Access,Funding Partner,Johnson,Overland Park,Creative / Media,Minority-Owned,Startup,2025-01,31,5,13,11,1425747,312412,559220,20,1,55,165,76,Smartsheet,2026-05-22
